GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
6176,JADES-GS-13347,,5.8695016,12,jades-gds-wide2-v3_g235m-f170lp_1180_13347.spec.fits,13347,53.2029877,-27.7761337,G235M,F170LP,1021.222,6,jw01180134001_03103_00001_nrs2,jw01180134001_01_msa.fits,168,1,1,16,jades-gds-wide2-v3,1437,1,1.7003809,3.150057,2.5685713,-1.0947062,-0.12837589,0.09067051,0.5439207,0.06305575,0.11135033,2.1225479,0.25121558,0.1700836,101,257,1442,32,0.0,68.72683,0.0,-0.0009999998,0.50030786,1716609107.121,0.8.5.dev7+g25edcb0,6127.332
7849,JADES-GN-89464,,6.7178674,10,jades-gdn11-v3_g395m-f290lp_1181_89464.spec.fits,89464,189.1865816,62.2709077,G395M,F290LP,1021.222,9,jw01181011001_19101_00001_nrs1,jw01181011001_04_msa.fits,680,4,1,636,jades-gdn11-v3,860,1,2.8794382,4.3438287,3.8682,-0.6269467,-0.03187126,0.037250545,1.2273113,0.057043523,0.045210946,3.134544,0.14955696,0.066123,883,619,1166,29,0.0,150.70471,0.0,0.001,0.42782706,1716594940.909,0.8.5.dev7+g25edcb0,9190.998
7849,JADES-GN-89464,,6.7178674,10,jades-gdn11-v3_g140m-f070lp_1181_89464.spec.fits,89464,189.1865816,62.2709077,G140M,F070LP,1021.222,9,jw01181011001_29101_00001_nrs1,jw01181011001_05_msa.fits,822,5,1,776,jades-gdn11-v3,934,1,0.7004,1.2602,1.1462,-1.1254246,-0.08932063,0.03250598,1.1718328,0.055445388,0.041958034,3.5117273,0.15104443,0.13084894,339,634,915,32,0.0,150.7049,0.0,0.0009999999,0.42782706,1716594963.797,0.8.5.dev7+g25edcb0,9190.998
7849,JADES-GN-89464,,6.7178674,10,jades-gdn11-v3_g235m-f170lp_1181_89464.spec.fits,89464,189.1865816,62.2709077,G235M,F170LP,1021.222,9,jw01181011001_27101_00001_nrs1,jw01181011001_05_msa.fits,821,5,1,776,jades-gdn11-v3,902,1,1.7003809,2.609962,2.1839428,-0.4914493,-0.022931151,0.04073946,1.337647,0.06326892,0.046408836,3.2318714,0.15422575,0.05488183,805,632,1244,29,0.0,150.70474,0.0,-0.001,0.42782706,1716594934.753,0.8.5.dev7+g25edcb0,9190.998
7849,JADES-GN-89464,,6.7178674,10,jades-gdn11-v3_g395h-f290lp_1181_89464.spec.fits,89464,189.1865816,62.2709077,G395H,F290LP,1021.222,18,jw01181011001_03101_00001_nrs2,jw01181011001_01_msa.fits,1,1,1,104,jades-gdn11-v3,2971,1,2.8801086,5.0982056,3.86896,-1.2947763,-0.26763412,0.095446095,0.42435414,0.075673856,0.18007919,2.2578387,0.47242045,0.387444,1,643,2048,40,0.0,150.70526,0.0,0.001,0.42782706,1716594956.109,0.8.5.dev7+g25edcb0,18381.996
7890,3215-GS-101167,,5.5605555,10,gds-udeep-v3_g140m-f070lp_3215_101167.spec.fits,101167,53.1553061,-27.81586800000002,G140M,F070LP,2771.889,6,jw03215001003_11101_00001_nrs1,jw03215001003_01_msa.fits,144,1,1,107,gds-udeep-v3,934,1,0.7004,1.2602,1.028,-1.5867269,-0.079123534,0.031982843,0.36536375,0.015214005,0.038796436,2.2937796,0.12486684,0.10487604,179,1562,918,36,0.0,321.0772,0.0,0.001,0.6693827,1716575485.388,0.8.5.dev7+g25edcb0,16631.334
7890,3215-GS-101167,,5.5605555,10,gds-udeep-v3_g395m-f290lp_3215_101167.spec.fits,101167,53.1553061,-27.81586800000002,G395M,F290LP,2771.889,24,jw03215001003_03101_00001_nrs1,jw03215001003_01_msa.fits,1,1,1,107,gds-udeep-v3,1362,1,2.8794382,5.199619,3.2851715,-2.4959726,-0.050349157,0.012136525,-0.12009319,-0.0022372375,0.017901534,2.2965794,0.04936334,0.043664888,730,1545,1319,32,0.0,321.07712,0.0,-0.001,0.6693827,1716575494.35,0.8.5.dev7+g25edcb0,66525.336
7908,3215-GS-109389,,5.7935553,10,gds-udeep-v3_g395m-f290lp_3215_109389.spec.fits,109389,53.1221036,-27.80429170000002,G395M,F290LP,2771.889,60,jw03215001001_03101_00001_nrs1,jw03215001001_01_msa.fits,1,1,1,102,gds-udeep-v3,1191,1,2.8794382,4.908105,3.3993905,-1.281771,-0.042466447,0.023112876,0.4348374,0.013987185,0.030162688,2.272612,0.088621885,0.062918425,899,493,1150,29,0.0,321.0904,0.0,0.0009999792,0.6485403,1716574509.669,0.8.5.dev7+g25edcb0,166313.34
7908,3215-GS-109389,,5.7935553,10,gds-udeep-v3_g140m-f070lp_3215_109389.spec.fits,109389,53.1221036,-27.80429170000002,G140M,F070LP,2771.889,14,jw03215001004_11101_00002_nrs1,jw03215001004_01_msa.fits,115,1,2,74,gds-udeep-v3,934,1,0.7004,1.2602,1.0268,-1.28755,-0.2031687,0.021629488,0.3149984,0.021882461,0.10968953,1.9616942,0.2464955,0.420228,353,508,914,32,0.0,321.08887,0.0,0.001,0.6485403,1716574517.827,0.8.5.dev7+g25edcb0,38806.445
8007,3215-GS-202208,,5.448009,10,gds-udeep-v3_g140m-f070lp_3215_202208.spec.fits,202208,53.1640684,-27.79972020000002,G140M,F070LP,2771.889,11,jw03215001004_11101_00002_nrs1,jw03215001004_01_msa.fits,115,1,2,49,gds-udeep-v3,934,1,0.7004,1.2602,1.229,-0.45443416,-0.018009108,0.017771088,2.4062986,0.057885483,0.023668699,4.8378744,0.11031482,0.061212104,776,1731,919,31,0.0,321.08887,0.0,-0.001,0.2707469,1716574512.856,0.8.5.dev7+g25edcb0,30490.78
