file,GroupID,root,grating,srcid,ra,dec,z_manual,observable_ArIII_3005,sn_ArIII_3005,observable_ArIV_2689,sn_ArIV_2689,observable_ArIV_2854,sn_ArIV_2854,observable_ArV_2691,sn_ArV_2691,observable_CIII_1906,sn_CIII_1906,observable_CIII_1908,sn_CIII_1908,observable_CIV_1549,sn_CIV_1549,observable_CIV_1551,sn_CIV_1551,observable_HeII_1640,sn_HeII_1640,observable_Lya_1215,sn_Lya_1215,observable_MgV_1325,sn_MgV_1325,observable_MgV_2783,sn_MgV_2783,observable_NIII_1750,sn_NIII_1750,observable_NII_3063,sn_NII_3063,observable_NIV_1483,sn_NIV_1483,observable_NIV_1487,sn_NIV_1487,observable_NeIII_1815,sn_NeIII_1815,observable_NeIV_1602,sn_NeIV_1602,observable_NeIV_2422,sn_NeIV_2422,observable_NeV_1575,sn_NeV_1575,observable_OIII_1660,sn_OIII_1660,observable_OIII_1665,sn_OIII_1665,observable_OIII_2321,sn_OIII_2321,observable_OII_2471,sn_OII_2471,observable_OI_2972,sn_OI_2972,observable_SiIII_1883,sn_SiIII_1883,observable_SiIII_1892,sn_SiIII_1892,observable_ArIV_4711,sn_ArIV_4711,observable_ArIV_4740,sn_ArIV_4740,observable_CII_4267,sn_CII_4267,observable_Hb_4861,sn_Hb_4861,observable_Hd_4103,sn_Hd_4103,observable_HeII_4687,sn_HeII_4687,observable_Hg_4342,sn_Hg_4342,observable_NII_5756,sn_NII_5756,observable_NI_3466,sn_NI_3466,observable_NI_5200,sn_NI_5200,observable_NeIII_3343,sn_NeIII_3343,observable_NeIII_3867,sn_NeIII_3867,observable_NeIII_3967,sn_NeIII_3967,observable_NeV_3426,sn_NeV_3426,observable_OIII_4363,sn_OIII_4363,observable_OIII_4959,sn_OIII_4959,observable_OIII_5007,sn_OIII_5007,observable_OII_3727,sn_OII_3727,observable_OII_3729,sn_OII_3729,observable_SIII_3722,sn_SIII_3722,observable_SII_4070,sn_SII_4070,observable_SII_4078,sn_SII_4078,observable_ArV_6134,sn_ArV_6134,observable_ArIII_7136,sn_ArIII_7136,observable_Ha_6565,sn_Ha_6565,observable_NII_6549,sn_NII_6549,observable_NII_6584,sn_NII_6584,observable_OII_7323,sn_OII_7323,observable_OII_7332,sn_OII_7332,observable_OI_6364,sn_OI_6364,observable_SIII_6314,sn_SIII_6314,observable_SIII_9531,sn_SIII_9531,observable_SII_6717,sn_SII_6717,observable_SII_6731,sn_SII_6731,PROG_ID
jades-gdn2-blue-v3_g140m-f100lp_1181_1044.spec.fits,111,jades-gdn2-blue-v3,G140M,1044,189.111041,62.2719018,4.043036,1.0,-2.39117118054537,1.0,-0.799728056548104,1.0,3.3604293505242624,1.0,-1.193355709219919,,,,,,,,,,,,,,,1.0,-1.426321335024518,,,1.0,-0.5422216390762405,,,,,,,,,1.0,-0.5089131919497404,,,,,,,1.0,-1.7171129984527007,1.0,2.501187731818354,1.0,1.0057607143312364,,,,,,,,,,,,,,,,,,,,,1.0,1.059355708159219,,,1.0,-3.0395798091693917,,,,,1.0,-0.6815745162853073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1044
jades-gdn2-blue-v3_g140m-f100lp_1181_1054.spec.fits,114,jades-gdn2-blue-v3,G140M,1054,189.1574206,62.2736069,5.6816096,,,1.0,0.439642548701223,,,1.0,-0.0443014215927554,,,,,1.0,0.4943851402042801,1.0,0.7229781637673989,1.0,0.7853518781760096,,,,,,,1.0,13.440323851943402,,,1.0,-1.6255148927186345,1.0,-0.374917841989854,1.0,-0.6067879472522237,1.0,-0.1880464615281692,,,1.0,2.944991138969943,1.0,-1.6183805252249912,1.0,0.0123196544250219,,,,,,,1.0,-1.7262814119150331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1054
aurora-gdn02-v3_g140m-f100lp_1914_100163.spec.fits,115,aurora-gdn02-v3,G140M,100163,189.13811142537037,62.27444392274232,6.7486973,,,,,,,,,,,,,,,,,,,,,1.0,-0.336244295259928,,,,,,,,,,,,,1.0,-2.614693598282861,,,1.0,1.9822042784226208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AURORA-GN-100163
aurora-gdn02-v3_g140m-f100lp_1914_100167.spec.fits,118,aurora-gdn02-v3,G140M,100167,189.2025949705713,62.27553312367564,6.907214,,,,,,,,,,,,,1.0,0.0061646344364788,1.0,4.324943708631589,,,,,1.0,1.167412407864398,,,,,,,1.0,-3.7845043249275543,1.0,-2.7922915719327768,,,,,,,1.0,1.0526379776689654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AURORA-GN-100167
jades-gdn2-v3_g140m-f070lp_1181_1076.spec.fits,119,jades-gdn2-v3,G140M,1076,189.1385111,62.2756103,6.744953,,,,,,,,,,,,,1.0,1.2100950475288508,1.0,0.3220945664840807,,,,,1.0,0.8590563866348122,,,,,,,1.0,0.974442325443043,1.0,1.012922525063243,,,1.0,-1.1800271847592474,,,1.0,-1.8384831000770987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1076
jades-gdn2-blue-v3_g140m-f100lp_1181_1110.spec.fits,231,jades-gdn2-blue-v3,G140M,1110,189.0948215,62.2789944,4.7244253,1.0,0.2583309493631455,1.0,1.7037894812133234,1.0,-0.3546891033247977,1.0,0.4248919417216226,,,,,,,,,,,,,,,1.0,0.2851519370305239,1.0,0.4975143698451998,1.0,-0.5495339740955002,,,,,1.0,0.7723411772803717,,,,,,,,,,,,,,,1.0,3.1952520119914687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1110
jades-gdn2-blue-v3_g140m-f100lp_1181_1161.spec.fits,239,jades-gdn2-blue-v3,G140M,1161,189.1059341,62.2868542,4.4884906,1.0,-0.1076238181404792,1.0,-1.8388811250451345,1.0,1.6569472743525333,1.0,-1.293652571066483,1.0,3.8876288832338104,1.0,3.235522886055344,,,,,,,,,,,1.0,0.91035885985608,,,1.0,0.0693234117664638,,,,,1.0,-1.9402197230453453,,,,,,,,,,,,,,,1.0,-2.863464201919519,1.0,2.1172173794798987,1.0,0.2219891558080608,,,,,,,,,,,,,,,,,,,,,1.0,3.2385837234264003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1161
jades-gdn2-blue-v3_g140m-f100lp_1181_1166.spec.fits,241,jades-gdn2-blue-v3,G140M,1166,189.1833588,62.2877222,7.016551,,,,,,,,,,,,,1.0,0.4154449475246584,1.0,2.124170001999416,,,,,1.0,0.8428844201822523,,,,,,,1.0,0.3054193950499141,1.0,-0.811996984444167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1166
jades-gdn2-blue-v3_g140m-f100lp_1181_1203.spec.fits,243,jades-gdn2-blue-v3,G140M,1203,189.1546282,62.2929175,6.6991014,,,,,,,,,,,,,1.0,3.0292042049286403,1.0,2.874518475947137,,,,,1.0,2.8438449444673792,,,,,,,1.0,-2.265339010204769,1.0,1.488540823708732,,,1.0,2.2182136842054705,,,1.0,-0.2182216057100673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1203
jades-gdn2-v3_g140m-f070lp_1181_1208.spec.fits,244,jades-gdn2-v3,G140M,1208,189.1082623,62.2931895,4.907518,,,,,,,,,1.0,1.5374895065111411,1.0,0.3765190226988536,1.0,0.93163526675122,1.0,1.9069574924521997,1.0,-0.4778395906637095,,,,,,,1.0,1.3639212129460456,,,1.0,1.7981030185453022,1.0,0.9892959178791364,1.0,1.5892220869305935,1.0,-1.464666999104564,,,1.0,0.0020003037824832,1.0,1.761613933565008,1.0,-2.5256890333977413,,,,,,,1.0,0.6183154373895061,1.0,-2.6559789962046345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JADES-GN-1208
