GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
3132,EXCELS-UDS-109760,,4.620839,12,excels-uds01-v3_g395m-f290lp_3543_109760.spec.fits,109760,34.365072232,-5.1488459483999796,G395M,F290LP,4814.334,6,jw03543001001_07101_00002_nrs1,jw03543001001_03_msa.fits,120,3,1,165,excels-uds01-v3,1198,1,2.8794382,5.199619,3.7045429,19.120842,2.1140008,0.06638858,30.551641,2.6236444,0.08205533,35.14435,3.7282734,0.19367184,1083,1257,966,32,0.0,56.909298,0.0,0.0009999999,0.5428314,1735664748.726,0.9.2.dev1+g8ebd90e,28886.004
3132,RUBIES-UDS-140707,,4.620839,12,rubies-uds23-nod-v3_g395m-f290lp_4233_140707.spec.fits,140707,34.36508449094,-5.1488484101,G395M,F290LP,948.278,3,jw04233002003_03103_00001_nrs2,jw04233002003_02_msa.fits,208,2,1,4,rubies-uds23-nod-v3,1361,1,2.8811429,5.199619,3.3806381,4.941567,1.2902611,0.13342698,8.242961,1.6423903,0.19534656,11.474608,2.2489588,0.404516,309,1599,1372,37,0.0,62.137615,0.0,0.001,0.57358354,1735671924.056,0.9.2.dev1+g8ebd90e,2844.834
3190,EXCELS-UDS-119437,,4.10374,4,excels-uds02-v3_g395m-f290lp_3543_119437.spec.fits,119437,34.2679906,-5.134220948699976,G395M,F290LP,4814.334,6,jw03543002001_07101_00002_nrs1,jw03543002001_03_msa.fits,127,3,1,152,excels-uds02-v3,1197,1,2.8794382,5.199619,3.3516572,-0.7095373,-0.068510324,0.039300274,1.0573564,0.074148886,0.074318975,2.9695864,0.2252357,0.16621159,1651,236,398,25,0.0,56.93197,0.0,0.001,0.5645123,1735664643.439,0.9.2.dev1+g8ebd90e,28886.004
3199,EXCELS-UDS-120567,,6.19377,5,excels-uds02-v3_g395m-f290lp_3543_120567.spec.fits,120567,34.269178716,-5.132377168000005,G395M,F290LP,4814.334,6,jw03543002001_07101_00002_nrs1,jw03543002001_03_msa.fits,127,3,1,150,excels-uds02-v3,1198,1,2.8794382,5.199619,4.7222857,-0.09862584,-0.011839726,0.057472046,1.7139142,0.16086213,0.10242749,3.7866745,0.4140266,0.23070726,1672,161,377,29,0.0,56.93197,0.0,-0.001,1.1302041,1735664399.674,0.9.2.dev1+g8ebd90e,28886.004
3203,EXCELS-UDS-127608,,4.80416,2,excels-uds02-v3_g395m-f290lp_3543_127608.spec.fits,127608,34.237589645,-5.121315256599985,G395M,F290LP,4814.334,3,jw03543002001_07101_00002_nrs1,jw03543002001_03_msa.fits,127,3,1,187,excels-uds02-v3,1361,1,2.8811429,5.199619,2.9067142,0.022054134,0.0016677242,0.051876646,1.92299,0.1462408,0.07217207,4.0030193,0.3355764,0.17204426,500,72,1354,42,0.0,56.93197,0.0,-0.001,0.8065893,1735665023.032,0.9.2.dev1+g8ebd90e,14443.002
3213,EXCELS-UDS-87159,,4.05802,2,excels-uds02-v3_g395m-f290lp_3543_87159.spec.fits,87159,34.276542338,-5.183354977600004,G395M,F290LP,4814.334,3,jw03543002001_07101_00002_nrs2,jw03543002001_03_msa.fits,127,3,1,129,excels-uds02-v3,1361,1,2.8811429,5.199619,3.3192666,0.531452,0.06810351,0.06935014,2.4549754,0.24344642,0.09223213,4.466182,0.4350258,0.21106595,253,1769,1373,52,0.0,56.93197,0.0,-0.001,0.9142246,1735665041.851,0.9.2.dev1+g8ebd90e,14443.002
3244,1210-GS-9451,,4.22979,20,gds-deep-v3_g140m-f070lp_1210_9451.spec.fits,9451,53.1500352,-27.80249980000002,G140M,F070LP,2771.889,9,jw01210001002_11101_00001_nrs1,jw01210001002_02_msa.fits,190,2,1,265,gds-deep-v3,934,1,0.7004,1.2602,1.1486,-1.117425,-0.03399841,0.019853925,0.78980035,0.021901289,0.02472678,2.8947303,0.087673604,0.073960066,597,1331,916,32,0.0,321.06934,0.0,0.0009999999,0.31420276,1716569945.932,0.8.5.dev7+g25edcb0,24947.002
3244,1210-GS-9451,,4.22979,20,gds-deep-v3_g395m-f290lp_1210_9451.spec.fits,9451,53.1500352,-27.80249980000002,G395M,F290LP,2771.889,18,jw01210001003_03101_00001_nrs1,jw01210001003_01_msa.fits,1,1,1,78,gds-deep-v3,1206,1,2.8794382,5.199619,3.4334857,-0.9031356,-0.028685097,0.018715512,0.9545807,0.028283784,0.024555875,3.0469646,0.10596638,0.07785939,1151,1312,898,27,0.0,321.08356,0.0,0.0009999999,0.31420276,1716569940.252,0.8.5.dev7+g25edcb0,49894.004
3244,1210-GS-9451,,4.22979,20,gds-deep-v3_g235m-f170lp_1210_9451.spec.fits,9451,53.1500352,-27.80249980000002,G235M,F170LP,2771.889,18,jw01210001003_07101_00001_nrs1,jw01210001003_01_msa.fits,124,1,1,78,gds-deep-v3,1281,1,1.7003809,3.150057,2.6190476,-0.9775988,-0.025978258,0.01948416,1.0301214,0.026168428,0.022645015,3.3428755,0.08966285,0.042372763,1069,1325,980,28,0.0,321.0836,0.0,0.001,0.31420276,1716569922.278,0.8.5.dev7+g25edcb0,49894.004
3244,1210-GS-9451,,4.22979,20,gds-deep-v3_g395h-f290lp_1210_9451.spec.fits,9451,53.1500352,-27.80249980000002,G395H,F290LP,2771.889,18,jw01210001002_15101_00001_nrs1,jw01210001002_02_msa.fits,316,2,1,265,gds-deep-v3,3024,1,2.8801086,4.896503,3.4319372,-1.3660215,-0.098037854,0.039241318,0.5696744,0.037751105,0.06320523,2.5559864,0.18407214,0.13638492,1187,1336,862,27,0.0,321.06927,0.0,0.001,0.31420276,1716569933.156,0.8.5.dev7+g25edcb0,49894.004
3245,1210-GS-9489,,4.0242248,20,gds-deep-v3_g395h-f290lp_1210_9489.spec.fits,9489,53.168717,-27.81517430000002,G395H,F290LP,2771.889,18,jw01210001003_05101_00001_nrs1,jw01210001003_01_msa.fits,123,1,1,96,gds-deep-v3,3302,1,2.8801086,5.0728345,3.2974687,-1.2411625,-0.26771697,0.11321758,0.89607036,0.15844074,0.18314806,3.0733047,0.61194396,0.37215632,923,1950,1126,30,0.0,321.0836,0.0,-0.001,1.25009,1716566357.411,0.8.5.dev7+g25edcb0,49894.004
3245,1210-GS-9489,,4.0242248,20,gds-deep-v3_g140m-f070lp_1210_9489.spec.fits,9489,53.168717,-27.81517430000002,G140M,F070LP,2771.889,9,jw01210001003_09101_00001_nrs1,jw01210001003_01_msa.fits,125,1,1,96,gds-deep-v3,934,1,0.7004,1.2602,1.1162,-0.5312997,-0.045987226,0.06050294,1.5064989,0.12291321,0.069942616,3.5025403,0.32166404,0.20418441,295,1947,920,36,0.0,321.08374,0.0,0.001,1.25009,1716566373.706,0.8.5.dev7+g25edcb0,24947.002
